City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
179,centenario,-38.8043,-68.14,5.86,65,0,1.03,AR,clear sky
180,las terrenas,19.311,-69.5428,29.79,89,75,2.06,DO,broken clouds
181,lompoc,34.6391,-120.4579,23.8,100,40,1.54,US,scattered clouds
182,timana,1.9714,-75.9312,24.42,68,92,2.1,CO,overcast clouds
183,belle fourche,44.6714,-103.8522,26.95,37,45,4.53,US,scattered clouds
184,kidal,18.4411,1.4078,39.16,22,7,3.14,ML,clear sky
185,colares,38.7992,-9.4469,25.82,45,0,10.8,PT,clear sky
186,fale old settlement,-9.3852,-171.2468,27.69,78,99,6.77,TK,moderate rain
187,ilulissat,69.2167,-51.1,4.01,100,100,2.06,GL,mist
188,st. john's,47.5649,-52.7093,25.66,74,100,2.57,CA,overcast clouds
189,kiunga,-6.1219,141.2906,22.31,94,100,1.01,PG,overcast clouds
190,queenstown,-31.8976,26.8753,12.48,39,1,1.9,ZA,clear sky
191,alofi,-19.0595,-169.9187,20.94,83,100,4.63,NU,light rain
192,santa ana,33.7456,-117.8678,28.85,77,20,2.06,US,few clouds
193,ciudad bolivar,8.1222,-63.5497,32.3,52,20,3.86,VE,few clouds
194,coxen hole,16.3244,-86.5366,30.6,79,40,6.69,HN,scattered clouds
195,minas de marcona,-15.2119,-75.1103,17.25,58,13,3.69,PE,few clouds
196,prado,-17.3411,-39.2208,25.27,64,71,2.66,BR,broken clouds
197,rio grande,-32.035,-52.0986,15.06,59,0,6.0,BR,clear sky
198,machiques,10.0644,-72.545,31.52,60,23,1.37,VE,few clouds
199,avarua,-21.2078,-159.775,22.03,73,20,3.6,CK,few clouds
200,isafjordur,66.0755,-23.124,9.02,76,0,8.75,IS,clear sky
201,vila franca do campo,37.7167,-25.4333,23.23,62,42,1.39,PT,scattered clouds
202,olonets,60.9847,32.9698,22.18,57,43,1.51,RU,scattered clouds
203,chicoana,-25.1009,-65.5331,11.03,46,0,1.63,AR,clear sky
204,pathardi,19.1667,75.1833,24.12,82,100,6.28,IN,overcast clouds
205,chaman,30.9236,66.4512,30.88,10,0,0.6,PK,clear sky
206,roma,43.2128,-75.4557,27.05,69,75,4.12,US,broken clouds
207,tiksi,71.6872,128.8694,4.12,96,100,1.54,RU,light rain
208,sawakin,19.1059,37.3321,38.13,39,0,2.12,SD,clear sky
209,shuangjiang,26.1547,109.7138,22.07,78,1,1.78,CN,moderate rain
210,ciudad melchor muzquiz,27.8833,-101.5167,29.23,59,8,1.47,MX,clear sky
211,dock junction,31.2025,-81.5168,36.66,65,0,3.6,US,clear sky
212,arraial do cabo,-22.9661,-42.0278,26.98,54,0,6.69,BR,clear sky
213,macusani,-14.0833,-70.4333,10.64,30,1,3.62,PE,clear sky
214,akureyri,65.6835,-18.0878,7.96,76,75,5.14,IS,broken clouds
215,ghat,24.9647,10.1728,38.15,7,11,7.44,LY,few clouds
216,sao felix do xingu,-6.6447,-51.995,35.77,25,12,1.9,BR,few clouds
217,nattarasankottai,9.8667,78.5667,30.08,65,83,3.11,IN,broken clouds
218,salinopolis,-0.6136,-47.3561,28.45,73,33,5.36,BR,scattered clouds
219,utrik,11.2278,169.8474,27.68,80,98,6.94,MH,light rain
220,wajir,1.7471,40.0573,30.98,40,20,4.12,KE,few clouds
221,nicoya,10.1483,-85.452,28.66,79,61,2.07,CR,broken clouds
222,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,100,75,1.0,RU,broken clouds
223,mirnyy,62.5353,113.9611,10.69,66,69,1.79,RU,broken clouds
224,bloemfontein,-29.1211,26.214,18.71,18,0,2.57,ZA,clear sky
225,san patricio,28.017,-97.5169,35.49,42,23,4.69,US,few clouds
226,tindouf,27.6711,-8.1474,45.25,4,0,2.57,DZ,clear sky
227,mbabane,-26.3167,31.1333,19.24,40,0,0.95,SZ,clear sky
228,den helder,52.9599,4.7593,20.01,65,100,11.83,NL,overcast clouds
229,suez,29.9737,32.5263,38.16,15,0,8.21,EG,clear sky
230,fort st. john,56.2499,-120.8529,14.94,88,100,2.06,CA,smoke
231,balqash,46.8481,74.995,24.79,42,0,2.76,KZ,clear sky
232,latakia,35.5148,35.7768,30.1,68,0,4.11,SY,clear sky
233,ancud,-41.8697,-73.8203,5.88,76,5,4.5,CL,clear sky
234,kenai,60.5544,-151.2583,11.75,98,100,2.06,US,light rain
235,huron,41.1501,-82.5499,26.1,57,0,4.38,US,clear sky
236,ta`u,-14.2336,-169.5144,26.52,79,100,9.06,AS,light rain
237,moree,-29.4667,149.85,13.53,67,70,3.63,AU,broken clouds
238,nabire,-3.3667,135.4833,24.95,92,100,1.75,ID,overcast clouds
239,oltinko'l,40.8011,72.1634,32.93,15,92,2.23,UZ,overcast clouds
240,rio rico,31.4715,-110.9765,33.51,46,0,1.54,US,clear sky
241,kasama,-10.2129,31.1808,18.78,41,1,2.78,ZM,clear sky
242,la mana,-0.9333,-79.2167,27.88,75,89,1.49,EC,overcast clouds
243,turpan,42.9333,89.1667,41.68,11,3,3.92,CN,clear sky
244,mechanicsville,37.6088,-77.3733,26.82,94,100,3.09,US,mist
245,dunedin,-45.8742,170.5036,7.67,60,62,3.77,NZ,broken clouds
246,peace river,56.2501,-117.286,18.14,93,75,1.54,CA,smoke
247,sungai penuh,-2.0833,101.3833,18.32,98,80,0.1,ID,light rain
248,lindale,32.5157,-95.4094,32.11,72,75,5.23,US,broken clouds
249,la'ie,21.6477,-157.9253,23.58,82,15,5.86,US,few clouds
250,kingsford,-33.924,151.2275,13.21,90,40,2.06,AU,light rain
251,tulun,54.5611,100.5792,15.89,96,87,4.9,RU,moderate rain
252,mejit,10.2753,170.8646,27.67,80,100,6.13,MH,light rain
253,lebu,-37.6167,-73.65,9.28,62,100,6.27,CL,overcast clouds
254,flying fish cove,-10.4217,105.6791,24.82,83,100,4.63,CX,overcast clouds
255,vidyayevo,69.3191,32.8049,18.01,64,16,3.23,RU,few clouds
256,howard springs,-12.497,131.047,24.95,70,31,1.49,AU,scattered clouds
257,crane,31.3974,-102.3501,32.21,32,20,6.82,US,few clouds
258,rengo,-34.4167,-70.8667,7.18,72,100,0.7,CL,overcast clouds
259,kashgar,39.4547,75.9797,34.56,15,40,3.0,CN,scattered clouds
260,ilukste,55.9775,26.2966,27.79,47,100,3.29,LV,overcast clouds
261,pula,44.8683,13.8481,33.31,49,0,3.09,HR,clear sky
262,verdal,63.7933,11.4817,22.02,47,93,4.07,NO,overcast clouds
263,sidon,33.5631,35.3689,28.93,57,0,0.95,LB,clear sky
264,lerwick,60.1545,-1.1494,14.0,81,91,4.31,GB,overcast clouds
265,camocim,-2.9022,-40.8411,32.24,52,9,6.45,BR,clear sky
266,tumayr,25.7039,45.868,38.14,5,11,6.27,SA,few clouds
267,porto novo,6.4965,2.6036,29.9,66,80,4.9,BJ,broken clouds
268,port saint john's,-31.6229,29.5448,18.25,63,2,0.87,ZA,clear sky
269,ambon,-3.6954,128.1814,25.49,95,75,1.03,ID,broken clouds
270,collie,-33.3667,116.15,12.04,78,99,2.2,AU,overcast clouds
271,sopron,47.685,16.5905,33.81,51,32,2.36,HU,scattered clouds
272,ostersund,63.1792,14.6357,18.12,71,20,11.62,SE,light rain
273,bamboo flat,11.7,92.7167,28.05,83,75,5.14,IN,mist
274,nizhnesortymskiy,62.4397,71.7603,17.14,58,38,3.26,RU,scattered clouds
275,wukari,7.85,9.7833,30.8,60,75,2.13,NG,broken clouds
276,la sarre,48.8002,-79.1996,23.8,53,3,2.98,CA,clear sky
277,malmberget,67.1753,20.6549,14.31,77,40,5.14,SE,light rain
278,cherlak,54.155,74.8055,16.12,85,52,4.09,RU,broken clouds
279,sao tome,0.3365,6.7273,25.2,75,85,4.04,ST,overcast clouds
280,freeport,40.6576,-73.5832,26.98,84,75,5.14,US,mist
281,rosalie,15.3667,-61.2667,29.39,79,100,6.41,DM,light rain
282,sao vicente,-23.9631,-46.3919,27.93,56,0,1.03,BR,clear sky
283,diapaga,12.0708,1.7889,34.33,42,55,1.59,BF,broken clouds
284,hamilton,39.1834,-84.5333,27.65,74,10,2.24,US,clear sky
285,lepsy,46.235,78.9456,28.15,26,0,1.9,KZ,clear sky
286,susuman,62.7833,148.1667,15.63,80,56,3.73,RU,broken clouds
287,hanceville,34.0607,-86.7675,31.2,54,3,2.91,US,clear sky
288,noshiro,40.2039,140.0242,22.06,97,77,1.91,JP,broken clouds
289,nouadhibou,20.931,-17.0347,26.99,61,55,10.8,MR,dust
290,coquimbo,-29.9533,-71.3436,12.85,94,20,5.66,CL,mist
291,aykhal,66.0,111.5,9.03,63,100,3.86,RU,overcast clouds
292,rafsanjan,30.4067,55.9939,33.84,9,1,6.6,IR,clear sky
293,souillac,-20.5167,57.5167,23.21,83,75,4.63,MU,broken clouds
294,caleta de carquin,-11.0925,-77.6267,21.73,72,76,3.29,PE,broken clouds
295,derzhavinsk,51.1,66.3167,23.42,50,47,6.11,KZ,scattered clouds
296,nuuk,64.1835,-51.7216,10.34,93,100,3.6,GL,light rain
297,port lincoln,-34.7333,135.8667,9.69,73,0,2.58,AU,clear sky
298,es castell,39.8795,4.2854,29.38,74,20,3.6,ES,few clouds
299,al burayqah,30.4062,19.5739,28.21,72,41,9.13,LY,scattered clouds
300,anapa,44.8908,37.3239,26.19,41,0,5.0,RU,clear sky
301,tura,25.5198,90.2201,24.74,89,100,2.33,IN,moderate rain
302,al ghayzah,16.2079,52.176,26.73,87,90,5.55,YE,overcast clouds
303,torghay,49.6339,63.4981,30.16,20,100,6.14,KZ,overcast clouds
304,alice springs,-23.7,133.8833,6.75,93,0,2.57,AU,clear sky
305,santa elena de uairen,4.6167,-61.1333,27.59,51,7,4.15,VE,clear sky
306,sao lourenco do sul,-31.3653,-51.9783,13.72,62,1,4.15,BR,clear sky
307,ust-nera,64.5667,143.2,9.78,89,64,3.64,RU,broken clouds
308,sale,34.0389,-6.8166,29.24,69,20,6.69,MA,few clouds
309,amga,60.8953,131.9608,11.25,99,99,1.3,RU,moderate rain
310,veinticinco de mayo,-35.4323,-60.1727,10.08,48,3,4.05,AR,clear sky
311,kokopo,-4.352,152.2633,24.7,86,77,3.19,PG,broken clouds
312,kota belud,6.351,116.4305,26.6,73,97,2.45,MY,overcast clouds
313,san pedro de macoris,18.4616,-69.2972,30.34,65,100,5.13,DO,overcast clouds
314,san antonio oeste,-40.7319,-64.9477,6.35,63,47,10.96,AR,scattered clouds
315,kerch,45.3583,36.4758,25.23,51,0,3.99,UA,clear sky
316,wynyard,-41.0,145.7167,10.07,78,53,4.01,AU,broken clouds
317,elliot lake,46.3834,-82.6331,20.78,80,17,2.2,CA,few clouds
318,gordon,34.5004,-84.8666,30.75,63,8,3.09,US,clear sky
319,gazojak,41.1875,61.4036,35.46,17,14,4.96,TM,few clouds
320,aasiaat,68.7098,-52.8699,2.89,92,100,0.95,GL,overcast clouds
321,parabel',58.6978,81.4825,14.35,77,1,4.08,RU,clear sky
322,bani walid,31.7566,13.9942,38.18,10,0,9.67,LY,clear sky
323,marsa alam,25.0757,34.8918,34.3,41,0,1.61,EG,clear sky
324,dolinsk,47.35,142.8,12.08,98,100,1.2,RU,overcast clouds
325,anupgarh,29.1911,73.2086,34.92,46,49,6.73,IN,scattered clouds
326,chibougamau,49.9168,-74.3659,18.79,94,100,2.06,CA,light rain
327,kruisfontein,-34.0033,24.7314,14.38,53,76,2.08,ZA,broken clouds
328,callao,-12.0667,-77.15,24.84,68,100,4.63,PE,overcast clouds
329,westport,41.1415,-73.3579,26.57,93,100,2.57,US,moderate rain
330,turkmenbasy,40.0222,52.9552,26.43,47,0,9.77,TM,clear sky
331,newman,37.3138,-121.0208,31.8,21,98,1.43,US,overcast clouds
332,ceeldheer,3.8488,47.1806,25.57,76,85,10.69,SO,overcast clouds
333,mogocha,53.7333,119.7667,17.91,62,67,1.09,RU,broken clouds
